time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,dot_phi,dot_theta,dot_psi
7.9699999999998745,-0.015985731035470963,0.03843330591917038,1.3865078687667847,-0.04338904427291857,-0.02000660607179064,0.10787050709570889,0.004999540534038558,0.004155249251791762,-0.0029522156838845126,-0.010694595053792,0.032176170498132706,-0.012866436503827575,-0.010747389504306346,0.032240094373607954,-0.012705519991987347
7.979999999999874,-0.015985731035470963,0.03843330591917038,1.3865078687667847,-0.04338904427291857,-0.02000660607179064,0.10787050709570889,0.004999540534038558,0.004155249251791762,-0.0029522156838845126,-0.010694595053792,0.032176170498132706,-0.012866436503827575,-0.010747389504306346,0.032240094373607954,-0.012705519991987347
7.989999999999874,-0.01641245186328888,0.03834730386734009,1.3872036933898926,-0.036024669704018096,-0.01610375857939642,0.10594654578493094,0.0047333494729520365,0.0042712183806380595,-0.0031219250177303122,-0.05300069972872734,-0.03274613246321678,-0.027868853881955143,-0.053120395115735415,-0.032613853099689165,-0.028023795620327245
7.999999999999874,-0.01686430536210537,0.03817081078886986,1.3879523277282715,-0.025681952372656386,-0.0271991567395232,0.10711737611422521,0.0047333494729520365,0.0042712183806380595,-0.0031219250177303122,-0.05300069972872734,-0.03274613246321678,-0.027868853881955143,-0.053120395115735415,-0.032613853099689165,-0.028023795620327245
8.009999999999874,-0.017289649695158005,0.03818008676171303,1.3883390426635742,-0.023010541542616367,-0.04127048795218241,0.1089896165222246,0.004111434258768167,0.004406751277325512,-0.003346773878585507,-0.05365253612399101,0.03456487134099006,-0.03303943946957589,-0.0537975061769864,0.0347004183016047,-0.032897368850607005
8.019999999999873,-0.017669687047600746,0.038165509700775146,1.3886456489562988,-0.04126217665622409,-0.02791484597373907,0.10504253221463603,0.004111434258768167,0.004406751277325512,-0.003346773878585507,-0.05365253612399101,0.03456487134099006,-0.03303943946957589,-0.0537975061769864,0.0347004183016047,-0.032897368850607005
8.029999999999873,-0.018083440139889717,0.03799059987068176,1.3890678882598877,-0.03960447437099482,-0.01708652897870915,0.1031037977665356,0.0033925140605006823,0.004630235248549234,-0.0035755718792991535,0.013538550585508347,0.03048561699688435,0.028925940394401547,0.013672963555518468,0.03038731009399205,0.029029507806355773
8.039999999999873,-0.018437489867210388,0.03780118003487587,1.3894294500350952,-0.02533774612973335,-0.041331285237150635,0.10664331789116337,0.0033925140605006823,0.004630235248549234,-0.0035755718792991535,0.013538550585508347,0.03048561699688435,0.028925940394401547,0.013672963555518468,0.03038731009399205,0.029029507806355773
8.049999999999873,-0.018773553892970085,0.037567298859357834,1.3898379802703857,-0.024722143031910365,-0.06261736534004772,0.10692299271804329,0.003252044056900874,0.005391653124480099,-0.003547434909244765,0.027333667501807213,0.020562922582030296,0.005692224018275735,0.027364718685277453,0.0205443025168845,0.005759149039531334
8.059999999999873,-0.0191132090985775,0.03730602562427521,1.3903871774673462,-0.024543196073245958,-0.055011376546069905,0.10136839510794465,0.0027593358183442785,0.006074252847055163,-0.0037889894643231103,0.008370977826416492,0.020623121410608295,0.023355560377240177,0.0085131922762342,0.020558597146588434,0.023412809433419658
