time,xi_x,xi_y,xi_z,d_var_theta_x,d_var_theta_y,d_var_theta_z,var_theta_x,var_theta_y,var_theta_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
15.36,-0.03047754617159404,0.0948712585808549,0.12303642497194459,0.13896587371501484,-0.9867126535189148,-0.12855031135051256,-1.1318913933301629,-0.1858020435018773,0.33427945480112814,0.006516883657785456,-0.04462012332978929,-0.015742855101868597,0.008117434019991545,0.04512104127254426,0.045182950123046815,0.09191107015055179,-0.26119282870526334,-0.31503603325573754
15.370000000000001,-0.029087887434443793,0.08500413204566576,0.12175092185843947,0.13597948171472274,-0.9680272417785842,-0.11174136060794174,-1.1305315985130155,-0.19548231591966314,0.3331620411950487,0.004896022137939944,-0.05308679089678134,-0.01653427639922532,0.008166394241370944,0.044590173363576444,0.045017607359054565,0.08885877608150278,-0.24147491336162596,-0.3124357412370706
15.38,-0.03356229367381003,0.11069620029613458,0.1273189552151647,0.14792649683348144,-1.0364688905250123,-0.1082680206815736,-1.1290523335446807,-0.20584700482491328,0.332079360988233,0.009314446462705007,-0.025729108094623393,-0.010447384043239805,0.008259538705997995,0.04433288228263021,0.04491313351862217,0.09886350363419256,-0.29074462761690284,-0.3228367373156086
15.39,-0.03208302870547519,0.10033151139088445,0.12623627500834897,0.14478831462088215,-1.0168115983917652,-0.09877084682867049,-1.127604450398472,-0.21601512080883092,0.33109165251994627,0.007532234593214282,-0.03528677620899001,-0.011202249261599517,0.008334861051930138,0.04398001452054031,0.044801111026006174,0.09568989290133702,-0.2705405483947645,-0.32068063271640007
15.4,-0.030635145559266386,0.0901633954069668,0.12524856654006225,0.1417011259747113,-0.997606441903908,-0.08470984857079811,-1.1261874391387248,-0.22599118522787,0.3302445540342383,0.0058292981472203576,-0.04434833694152063,-0.01183848471928714,0.008393154033402342,0.0435365311511251,0.0446827261788133,0.09254442418819218,-0.2504359248128659,-0.3186957247008324
15.41,-0.03320288478814559,0.10828644843996119,0.13188854149143983,0.15299585114103467,-1.040823555309733,-0.08242880399359914,-1.1246574806273144,-0.23639942078096735,0.3294202659943023,0.008268725370017282,-0.024834974937709517,-0.0048271061818700445,0.008475841287102515,0.043288181401748005,0.044634455116994605,0.09829813426680745,-0.2850686851931611,-0.3311460325080379
15.42,-0.031672926276735236,0.09787821288686385,0.13106425345150383,0.14982744840272627,-1.0223806805801727,-0.05586286708974536,-1.1231592061432871,-0.24662322758676908,0.32886163732340484,0.006464746764148065,-0.03446484411756959,-0.005499964828340559,0.008540488754743995,0.04294353296057231,0.0445794554687112,0.09499567887374735,-0.26474805273347773,-0.32954022897507723
15.43,-0.03017465179270795,0.08765440608106212,0.13050562478060637,0.14661781596173384,-1.0030571031025208,-0.04238337315438978,-1.1216930279836699,-0.2566537986177943,0.3284378035918609,0.0047402261062049235,-0.04360871377280759,-0.005886062667597586,0.008587891015806044,0.042507445822844235,0.04452059484203522,0.09171961926364579,-0.2444939891679823,-0.3284292405608279
15.44,-0.03289972591002743,0.10247662389982609,0.13740580286796686,0.17038980580147978,-1.0428171335312966,-0.04014486699011771,-1.119989129925655,-0.2670819699531073,0.32803635492195976,0.007375722405495503,-0.027420436016469638,0.0011987501728312477,0.008661648239861,0.04223324146267954,0.04453258234376353,0.097823609330656,-0.2728578298063996,-0.34139001480469644
15.450000000000001,-0.03119582785201258,0.0920484525645131,0.1370043541980657,0.16692837238568542,-1.0249224530789747,-0.005339390312534331,-1.1183198462017983,-0.27733119448389704,0.3279829610188344,0.0054197590803630145,-0.03698988803832043,0.0007596996074979712,0.00871584583066463,0.041863342582296334,0.04454017933983851,0.09411993349624016,-0.252366073440946,-0.34064591786986
15.46,-0.029526544128155807,0.08179922803372336,0.13695096029494033,0.1633450453153844,-1.0054977707506079,0.008259534915194433,-1.1166863957486444,-0.2873861721914031,0.32806555636798634,0.0035485516611764786,-0.046081003709739415,0.0006824755917083092,0.008751331347276396,0.04140253254519894,0.04454700409575559,0.09044055296146199,-0.23191160392507437,-0.34055294072414977
15.47,-0.027893093675001923,0.07174425032621728,0.13703355564409228,0.1598158749238496,-0.9864135981412239,0.025532259592019324,-1.115088236999406,-0.29725030817281534,0.32832087896390655,0.0017589147248384882,-0.05469376036236631,0.0007436630624945428,0.008768920494524782,0.04085559494157528,0.04455444072638054,0.0867873850294051,-0.211498056272252,-0.340715342970697
15.48,-0.033324963143743114,0.09782065120096567,0.14421369534028536,0.1871790862578694,-1.051777889876817,0.02902723452537226,-1.1132164461368272,-0.3077680870715835,0.3286111513091603,0.007262987549778374,-0.02690608250561155,0.007900475430665937,0.008841550370022565,0.04058653411651916,0.0446334454806872,0.09894196239693669,-0.2622039388527486,-0.3542210792195885
15.49,-0.0314531722811644,0.08730287230219752,0.1445039676855391,0.18321538326752934,-1.031983951643984,0.04079881959946058,-1.111384292304152,-0.3180879265880233,0.3290191395051549,0.005141220082067941,-0.03658232859028063,0.007942916642558862,0.008892962570843245,0.04022071083061635,0.04471287464711279,0.09487173475040107,-0.24144860841887128,-0.3548447217665899
15.5,-0.029621018448489078,0.07698303278575769,0.1449119558815337,0.1792999445372479,-1.012430397634163,0.054772233716362584,-1.1095912928587794,-0.32821223056436494,0.3295668618423185,0.0031128142257148134,-0.04575830244600047,0.008101727813679266,0.008924090713100394,0.039763127806156345,0.04479389192524958,0.09082894818385887,-0.2207457316046083,-0.3556895241441618
15.51,-0.0337815754246269,0.09525834137035122,0.14840365153365973,0.20323347559365212,-1.053959824562221,0.06601286240754395,-1.1075589581028429,-0.33875182880998717,0.3302269904663939,0.007259194887957909,-0.026052613993375925,0.011339249371399351,0.008996682661979973,0.03950260166622259,0.04490728441896357,0.10010173073857143,-0.2561407107846817,-0.3623145213708614
