time,d_delta_x,d_delta_y,d_delta_z,delta_x,delta_y,delta_z
1.34,0.008278225812367201,0.0070804833017061135,-0.0011546194490322376,-0.0959655275593755,-0.011300706813806086,-0.021617138281932624
1.35,0.008077245530344807,0.0068941684828736395,-0.001124780125108818,-0.09588475510407204,-0.011231765128977349,-0.021628386083183713
1.36,0.016413004331715053,0.008770571345840042,-0.009807368617720136,-0.09572062506075489,-0.011144059415518949,-0.021726459769360915
1.37,0.01601447986546828,0.008539708532884473,-0.009553936860326032,-0.0955604802621002,-0.011058662330190105,-0.021821999137964176
1.3800000000000001,0.01562559588192569,0.00831487949709495,-0.00930708857745531,-0.09540422430328095,-0.010975513535219155,-0.021915070023738728
1.3900000000000001,0.015246120870314045,0.008095928578413424,-0.009066650894516318,-0.09525176309457781,-0.01089455424943502,-0.02200573653268389
1.4000000000000001,0.02402002144098675,0.009831645759279872,-0.009551331276952436,-0.09501156288016795,-0.010796237791842222,-0.022101249845453416
1.41,0.02343656637297961,0.009572655008023456,-0.009304649403833853,-0.09477719721643815,-0.010700511241761988,-0.022194296339491753
1.42,0.022867205946498326,0.00932043142933766,-0.009064370978721828,-0.09454852515697316,-0.010607306927468611,-0.022284940049278973
1.43,0.02773645026151253,0.011519168615054306,-0.003666437786083533,-0.09427116065435803,-0.010492115241318068,-0.022321604427139808
1.44,0.027062441592521275,0.011215520085025802,-0.0035717785865016505,-0.09400053623843282,-0.01037996004046781,-0.022357322213004825
1.45,0.02640470751182966,0.01091979843498956,-0.0034795680185663314,-0.09373648916331453,-0.010270762056117915,-0.022392117893190486
1.46,0.030271245537273173,0.012851809647420642,0.0027792730200560736,-0.0934337767079418,-0.010142243959643709,-0.022364325162989925
1.47,0.02953528886168233,0.012512762613201054,0.0027075260641445664,-0.09313842381932498,-0.010017116333511699,-0.022337249902348477
1.48,0.028817100039517013,0.012182561550158436,0.0026376285343652217,-0.09285025281892981,-0.009895290718010114,-0.022310873617004824
1.49,0.028116255874787305,0.011860980044748346,0.002569532894687386,-0.09256909026018194,-0.009776680917562631,-0.02228517828805795
1.5,0.030649854148346783,0.01411060445333513,0.012202370668350337,-0.09226259171869847,-0.00963557487302928,-0.02216315458137445
1.51,0.02990418480543247,0.013737904943412782,0.01188729733881521,-0.09196354987064415,-0.009498195823595151,-0.0220442816079863
1.52,0.0291765275900219,0.013374926558120668,0.011580306624055334,-0.09167178459474393,-0.009364446558013944,-0.021928478541745747
1.53,0.030262067713380914,0.015421438815265092,0.021547946581777,-0.09136916391761012,-0.009210232169861294,-0.021712999075927976
1.54,0.029525445819781865,0.015013697599626915,0.020991242355900594,-0.0910739094594123,-0.009060095193865025,-0.02150308665236897
1.55,0.028806627785987415,0.014616585764493767,0.020448754048292828,-0.09078584318155242,-0.008913929336220087,-0.02129859911188604
1.56,0.02869109997916927,0.016346263278149992,0.024342314951204716,-0.09049893218176072,-0.008750466703438587,-0.021055175962373992
1.57,0.02799235564480901,0.015913571713741224,0.02371282679548651,-0.09021900862531264,-0.008591330986301176,-0.020818047694419126
1.58,0.02731051406717297,0.015492157821040575,0.02309939973517,-0.0899459034846409,-0.00843640940809077,-0.020587053697067426
1.59,0.026645171668841172,0.015081734868977424,0.022501633591952633,-0.08967945176795249,-0.008285592059400996,-0.0203620373611479
1.6,0.024413173820232476,0.016264106192242247,0.02676213146795206,-0.08943532002975016,-0.008122950997478574,-0.020094416046468378
1.61,0.023818230885257835,0.015832876871412938,0.02606908757565573,-0.08919713772089759,-0.007964622228764444,-0.01983372517071182
1.62,0.02323770300988423,0.015412898329879566,0.02539372003487112,-0.08896476069079874,-0.007810493245465649,-0.019579787970363107
1.6300000000000001,0.0214520912958103,0.015802944417908395,0.025089217278823482,-0.08875023977784063,-0.007652463801286565,-0.019328895797574873
1.6400000000000001,0.020929090433926267,0.015383397488815068,0.024438725184395764,-0.08854094887350138,-0.007498629826398414,-0.019084508545730915
1.6500000000000001,0.020418775462871713,0.014974809285293527,0.023804854070850298,-0.08833676111887266,-0.0073488817335454785,-0.018846460005022412
1.6600000000000001,0.019920841708597647,0.014576900736518468,0.023187189881425173,-0.08813755270178668,-0.007203112726180294,-0.01861458810620816
1.67,0.015472553307560033,0.015796588273741988,0.022247583378465614,-0.08798282716871107,-0.007045146843442874,-0.018392112272423506
1.68,0.015095152504042642,0.015376476718945431,0.021669901651731112,-0.08783187564367065,-0.00689138207625342,-0.018175413255906193
1.69,0.014726923193782687,0.014967348367641544,0.021107021376340122,-0.08768460641173283,-0.006741708592577005,-0.017964343042142793
1.7,0.011170136288996796,0.015198736337912619,0.019225618947792712,-0.08757290504884285,-0.006589721229197878,-0.017772086852664865
1.71,0.010897607508076473,0.014793965085731109,0.018725892002130866,-0.0874639289737621,-0.006441781578340567,-0.017584827932643557
